frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
327	<img class=thumbnail onebox-avatar height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/youtube-beauty-guruk/85?page=30 https://forum.kremmania.hu/t/elso-benyomasok/586?page=27 https://forum.kremmania.hu/t/borapolasi-rutin/57?page=41 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=2 https://forum.kremmania.hu/t/uj-unboxing-kepekkel/883?page=135	null	default
867	<div class=aspect-image style=@STYLE>	0.0	1.0	0.0	https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=127 https://forum.kremmania.hu/t/beauty-box-tapasztalatok-szepsegdobozok-elofizetesek/171?page=35 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=153 https://forum.kremmania.hu/t/olcso-de-jo-fenyvedok/87?page=15 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=490	null	default
157	<div class=onebox lazyYT lazyYT-container data-parameters=feature=oembed&wmode=opaque data-youtube-id=@ID data-youtube-title=@LONG>	0.0	2.0	0.0	https://forum.kremmania.hu/t/elso-benyomasok/586?page=41 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=202 https://forum.kremmania.hu/t/arc-deco-avagy-arcdekoracio/444?page=7 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=148 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=116	null	default
211	<img class=ytp-thumbnail-image height=@STYLE src=@LINK title=@title width=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=112 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=139 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=112 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=123 https://forum.kremmania.hu/t/uj-unboxing-kepekkel/883?page=148	null	default
32	<span class=badge-category-bg style=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/uj-unboxing-kepekkel/883?page=236 https://forum.kremmania.hu/t/parfumok-vilaga/801?page=9 https://forum.kremmania.hu/t/arc-deco-avagy-arcdekoracio/444?page=6 https://forum.kremmania.hu/t/sampon-zsiros-hajra-3-nap/612 https://forum.kremmania.hu/t/uj-unboxing-kepekkel/883?page=204	null	default
852	<img alt=@alt height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=100 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=12 https://forum.kremmania.hu/t/the-ordinary-termekek/153?page=3 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=117 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=107	null	default
169	<div class=@STYLE style=@STYLE>	0.0	1.9763313609467457	0.0	https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=147 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=12 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=160 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=202 https://forum.kremmania.hu/t/sminkjeink-avagy-smin-k-spiraciok/314?page=4	null	default
13	<div class=lazyYT data-height=@STYLE data-parameters=@LONG data-width=@STYLE data-youtube-id=@ID data-youtube-title=@LONG>	0.0	0.0	0.0	https://forum.kremmania.hu/t/adventi-kalendariumok/561?page=6 https://forum.kremmania.hu/t/amerikai-kincsek/244 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=178 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=3 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=14	null	default
9	<img class=thumbnail src=@LINK>	0.0	0.0	0.0	https://forum.kremmania.hu/t/bemutatkozas-ismerkedes/112?page=36 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=61 https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=6 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=43 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=247	null	default
55	<img height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/sminkjeink-avagy-smin-k-spiraciok/314?page=20 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=377 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=12 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=6 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=93	null	default
3	<img class=instagram-image src=@LINK>	0.0	0.0	0.0	https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=10 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=9 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=12	null	default
16	<span class=instagram-video-icon>	0.0	0.0	0.0	https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=82 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=23 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=41 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=27 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=117	null	default
1	<div class=lazyYT data-height=@STYLE data-parameters=feature=oembed&wmode=opaque data-width=@STYLE data-youtube-id=@ID data-youtube-title=@originalNUM>	0.0	0.0	0.0	https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=40	null	default
1	<div class=lazyYT data-height=@STYLE data-parameters=feature=oembed&wmode=opaque data-width=@STYLE data-youtube-id=@ID data-youtube-title=I'VE BEEN KEEPING A SECRET ...>	0.0	0.0	0.0	https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=75	null	default
28	<span class=badge-category-parent-bg style=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/javaslatok-a-kremmania-oldalhoz/147?page=9 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=87 https://forum.kremmania.hu/t/ajanlast-kerek/562?page=101 https://forum.kremmania.hu/t/arc-deco-avagy-arcdekoracio/444?page=6 https://forum.kremmania.hu/t/zsiros-pattanasra-hajlamos-erzekeny-bor-apolasa-hogyan/1027	null	default
