frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
698338	<script>	8.07104869	0	8.07104869	https://www.origo.hu/sport/20150621-europa-bajnoki-erossegunek-nevezte-az-europa-jatekok-mezonyet-a-birkozo-sastin-marianna.html https://www.origo.hu/sport/csapat/20130709-varga-daniel-mehet-a-polovebere-kis-gabor-nem.html https://www.origo.hu/sport/egyeni/20190410-nemeth-zsanett-kikapott-az-elodontoben-galambos-ramona-a-vigaszagon-a-birkozo-europabajnoksagon.html https://www.origo.hu/sport/tomegsport/20040422penzdijas.html https://www.origo.hu/itthon/percrolpercre/20170119-itt-kovetheti-percrol-percre-a-76-kormanyinfot.html	decompose	default
694744	<strong>	4.980418687	0.2026530636	4.803442707	https://www.origo.hu/sport/csapat/20090115-kezilabda-kepes-lehet-a-vbbravurra-a-ferfivalogatott.html https://www.origo.hu/gazdasag/20140318-elfustolt-a-befektetesi-sztori-mit-tegyek.html https://www.origo.hu/sport/futball/20090622-bemutatjuk-a-debrecen-a-haladas-es-a-ujpest-kupaellenfelet.html https://www.origo.hu/sport/csapat/20180325-sopron-basket-ksc-szekszard-noi-kosarlabda-magyar-kupa-donto.html https://www.origo.hu/sport/egyeni/20210831-tenisz-elkepeszto-jelenet-labdamenet-kozben-hagyta-el-a-cipojet-a-sztarteniszezo-a-us-openen-video.html	felkover	default
626515	<a class=oabr-title href=@LINK title=@title>	5.874245629	0	5.874245629	https://www.origo.hu/nagyvilag/20160108-becsben-is-tortentek-szexualis-tamadasok.html https://www.origo.hu/gazdasag/20110525-3-szazalekos-gazdasagi-novekedes-lehet-2012ben-magyarorszagon.html https://www.origo.hu/itthon/20070523kover.html https://www.origo.hu/nagyvilag/20130228-munkasaival-csinaltatta-meg-a-lanya-leckejet.html https://www.origo.hu/techbazis/20200206-google-terkep-megujult-mobilapp.html	hivatkozas	href
581841	<script type=text/javascript>	15.95451507	0	15.95451507	https://www.origo.hu/sport/egyeni/20070417akajakkenu.html https://www.origo.hu/sport/futball/20171018-igy-bucsuzott-gera-zoltan-bernd-storcktol.html https://www.origo.hu/sport/trashtalk/20030428kinlodnak.html https://www.origo.hu/sport/futball/20180910-europa-liga-helyben-hagytak-az-olympique-marseille-stadionbezarasat.html https://www.origo.hu/sport/csapat/20220306-kezilabda-eb-selejtezo-magyarorszag-spanyolorszag-visszatekintes-a-ket-meccsre.html	decompose	default
554487	<span class=source>	3.227071149	0.0003877457903	3.2264742	https://www.origo.hu/tudomany/20160502-egyperces-tudomany-iras-kozpontozas-tortenelem-tudomany.html https://www.origo.hu/sport/futball/20211001-athletic-bilbao-alaves-la-liga-inaki-williams.html https://www.origo.hu/sport/futball/20210907-labdarugas-elhalasztottak-barcelona-focicsapatanak-hetvegi-rangadojat.html https://www.origo.hu/nagyvilag/20181229-dania-elismerte-hogy-sokkolo-intezkedeseket-vezet-be-a-migransok-miatt.html https://www.origo.hu/itthon/20150609-a-forgalom-erosodesere-szamit-a-rendorseg-a-roszkei-hataratkelonel.html	forras	default
553343	<div class=article-meta>	3.413779518	4.947399714	0	https://www.origo.hu/tafelspicc/20120326-recept-gratin-dauphinoise.html https://www.origo.hu/itthon/20001220nem.html https://www.origo.hu/nagyvilag/20060123soha.html https://www.origo.hu/tudomany/20211203-az-eddig-ismert-egyik-legkisebb-pehelysulyu-bolygot-fedeztek-fel-a-naprendszeren-kivul.html https://www.origo.hu/itthon/20120603-nem-harangoznak-az-egyhazak-trianonert.html	decompose	default
552452	<div class=article-content>	276.3615391	30.11644089	1.800080369	https://www.origo.hu/itthon/20210522-negy-fiatal-balesetezett-ejjel-szabadeghazanal-egyikuk-kirepult-az-autobol-es-meghalt.html https://www.origo.hu/idojaras/20080110-keleti-orvoslas-nyugati-profizmus.html https://www.origo.hu/itthon/20120313-az-atmeneti-rendelkezesek-sertik-a-jogallamisag-elvet.html https://www.origo.hu/gazdasag/20141203-a-paksi-bovites-nem-kap-allami-tamogatast.html https://www.origo.hu/nagyvilag/20100903-vadat-emeletek-az-amerikai-hatosagok-egy-kiterjedt-halozatu-embercsembeszbanda-ellen.html	default	default
551483	<article class=article-body>	312.3923167	37.71005997	0	https://www.origo.hu/programajanlo/blog/20080912-miskolc-a-fiatal-filmeseke-cinefest.html https://www.origo.hu/itthon/20190709-grezsa-indul-hodmezovasarhelyen-markizayal-szemben.html https://www.origo.hu/itthon/20120321-betortek-koka-janos-hazaba.html https://www.origo.hu/nagyvilag/20000128eros.html https://www.origo.hu/itthon/20110429-kenyszerleszallast-hajtott-vegre-egy-gep-ferihegyen.html	default	default
551483	<div class=article-footer>	0.02860831612	0.228866529	0	https://www.origo.hu/nagyvilag/20030305powell.html https://www.origo.hu/itthon/20090629-hetfon-tetozik-a-duna-budapesten.html https://www.origo.hu/gazdasag/20141110-a-kormany-visszacsempeszi-a-valsagadot-fizethet-a-tesco.html https://www.origo.hu/programajanlo/blog/20090812-a-magna-cum-laude-augusztus-17-en-a-zold-pardonban.html https://www.origo.hu/itthon/20200909-a-kapitanysagon-akarta-lefizetni-a-rendoroket-egy-reszeg-sofor.html	default	default
547806	<a class=category-meta href=@LINK>	1	0	1	https://www.origo.hu/auto/20140731-audibol-epitik-az-uj-bentleyt.html https://www.origo.hu/nagyvilag/20160929-renzi-nagy-britannia-nem-kaphat-tobb-jogot-mint-mas-nem-unios-orszagok.html https://www.origo.hu/nagyvilag/20210726-kereszteny-foiskolat-fenyeget-az-lmbtq-lobi.html https://www.origo.hu/tudomany/20190820-a-nasa-megerositette-hogy-urszondat-kuld-a-jupiter-europe-nevu-holdjara.html https://www.origo.hu/techbazis/20210217-sony-playstation-5-india-skalpolas.html	hivatkozas	href
521139	<div class=article-recommendation-zone>	1	2	0	https://www.origo.hu/sport/futball/20200123-az-inter-edzoje-elcsabitotta-a-chelseatol-korabbi-kulcsjatekosat-antonio-conte-victor-moses.html https://www.origo.hu/sport/esport/20210614-kezdodik-a-vilag-legnevesebb-esport-versenye.html https://www.origo.hu/sport/egyeni/20030817fazekas.html https://www.origo.hu/sport/futball/20040821apremier.html https://www.origo.hu/sport/egyeni/20190920-sastin-marianna-otodik-lett-a-birkozovilagbajnoksagon-keszulhet-a-tokioi-olimpiara.html	decompose	default
521139	<span class=ai-brand>	1	0	1	https://www.origo.hu/sport/futball/20020403totti.html https://www.origo.hu/sport/20141027-a-hetfoi-elo-sportkozvetitesek-a-hazai-televiziokban.html https://www.origo.hu/sport/20140305-sportvezetok-es-a-mob-munkatarsai-is-reszesultek-az-olimpiai-jutalmakbol.html https://www.origo.hu/sport/futball/20211128-la-liga-15-fordulo-real-betis-levante-osszefoglalo-juanmi-mesterharmas.html https://www.origo.hu/sport/20170805-elo-sportkozvetitesek-augusztus-5-szombat.html	default	default
484003	<h2>	4.542599943	0.4649062093	2.345375958	https://www.origo.hu/gazdasag/hirek/20070706-az-elso-felevben-65-szazalekkal-nott-a-roman-gdp.html https://www.origo.hu/sport/olimpia/2004/20040428rogge.html https://www.origo.hu/gazdasag/20160120-szinte-minden-tarsasagot-erint-a-lizingekre-vonatkozo-uj-nemzetkozi-szamviteli-standard.html https://www.origo.hu/sport/futball/20060314bajnokok.html https://www.origo.hu/nagyvilag/20140718-az-usa-szerint-is-lelottek-a-malaj-gepet.html	cimsor	default
480921	<a href=@LINK>	2.493440711	0.1311857873	2.251835541	https://www.origo.hu/itthon/20110828-ujra-mukodik-a-mav-internetes-jegyvasarlo-rendszere.html https://www.origo.hu/gazdasag/20130514-lefele-szankazik-a-hazai-borze.html https://www.origo.hu/nagyvilag/20180702-fekete-zsirafot-lott-ki-a-vadasz-tombolnak-az-emberek.html https://www.origo.hu/nagyvilag/20200304-soros-gyorgy-miatt-magyarazkodhat-emmanuel-macron-v4na.html https://www.origo.hu/gazdasag/20090205-kormanyjavaslat-lakashitel-csokkentett-torlesztoreszlet-bankszovetseg.html	hivatkozas	href
480168	<figcaption class=caption>	9.983597408	2.637843421	0	https://www.origo.hu/tudomany/20080324-gammafelvillanas-az-addig-eszlelt-legnagyobb-robbanas.html https://www.origo.hu/itthon/20211202-a-baloldal-szerint-kamu-es-ismeretlen-szineszek-hallhatoak-anonymus-hangfelvetein.html https://www.origo.hu/itthon/20191125-sokkot-kapott-a-kislany-amikor-meglatta-a-tapiosagi-pedofilt.html https://www.origo.hu/auto/20151002-opel-astra-2015-menetproba.html https://www.origo.hu/nagyvilag/20160131-menekulteket-udvozlo-jelszo-az-ev-angol-jovevenyszava-nemetorszagban.html	default	default
410893	<span class=desc>	8.987086662	0.01537139839	8.91696135	https://www.origo.hu/itthon/20211103-videk-konferencia-2021-szazadveg.html https://www.origo.hu/auto/20200424-toyota-camry-25-hybrid-teszt.html https://www.origo.hu/itthon/20130905-vedett-madarakat-csempeszett-a-buszsofor.html https://www.origo.hu/gazdasag/20151118-paks-lazar-janos-nem-aggodunk.html https://www.origo.hu/gazdasag/20180921-az-uber-be-akar-torni-az-etelhazhozszallitas-piacara.html	default	default
380498	<div class=img-holder>	9.794169746	10.85272459	0.0002838385484	https://www.origo.hu/gazdasag/20181130-nem-talalt-hibat-a-csokimikulasokban-a-fogyasztovedelem.html https://www.origo.hu/itthon/20190408-puzser-robert-felfuggesztette-felfuggeszti-a-targyalasokat-az-elovalasztasrol.html https://www.origo.hu/gazdasag/20150529-gopro-kamera-virtualis-valosag-google-jump-technologia.html https://www.origo.hu/itthon/20160911-indul-a-nap-az-origoval-szeptember-12.html https://www.origo.hu/nagyvilag/20160807-ausztria-torokorszag-eu-csatlakozas-veto.html	media_tartalom	default
368021	<em>	4.940644691	0.1529831178	4.762396711	https://www.origo.hu/sport/egyeni/20050531asulyloko.html https://www.origo.hu/itthon/20061003orban8.html https://www.origo.hu/teve/20150903-a-100-legjobb-no-a-tevebol-10-resz-kelly-brook.html https://www.origo.hu/gazdasag/20080807-kgfb-valtas-mav-abe-ugyfelek-uj-kotelezo-biztositas.html https://www.origo.hu/tudomany/20140513-oshullok-mezozoikum-ilyen-volt-a-dinoszauruszok-kora-a-triasz-a-jura-es-a-kreta-idoszakban.html	kiemelt	default
339069	<span class=p-kiemelt>	15.19964078	0.8679442827	2.330646565	https://www.origo.hu/auto/20150918-igy-parkolnak-a-magyar-autosok.html https://www.origo.hu/gazdasag/20181205-nemzetkozi-beruhazasi-bank-budapest-koltozik.html https://www.origo.hu/techbazis/20150806-robotvirag-maguktol-nyilnak-ki-ikerfem-kickstarter.html https://www.origo.hu/tudomany/20181027-32-tigris-genetikai-allomanyat-neztek-es-meglepo-kovetkeztetesre-jutottak.html https://www.origo.hu/tudomany/20210314-egyre-jobban-erzodik-nemetorszag-idojarasan-a-globalis-klimavaltozas-hatasa.html	default	default
265541	<tr>	21.81121559	6.779954885	0	https://www.origo.hu/auto/20110118-fiatal-premiumautok-olcson.html https://www.origo.hu/teve/20070125anap.html https://www.origo.hu/gazdasag/20160629-bankszfera-bank-vallalat-hitel-banki-termek-otp-k-h-unicredit.html https://www.origo.hu/itthon/20000608luxuslakasert.html https://www.origo.hu/sport/egyeni/20080716-kolonics-gyorgy-hirtelen-szivhalal.html	sor	default
246739	<a href=@LINK target=@target>	2.516395868	0.03993288455	2.350289172	https://www.origo.hu/gazdasag/20200813-lyft-bevetel-gyorsjelentes-kalifornia.html https://www.origo.hu/sport/laza/20211123-labdarugas-mourinho-allta-a-szavat-megvette-a-meregdraga-cipot-a-csodatininek-video.html https://www.origo.hu/auto/20200304-kihuztak-a-trutyibol-a-bator-suzukist-az-51-esen-sokkolo-mit-vallalt-be.html https://www.origo.hu/itthon/20160907-not-vert-lopott-es-garazdalkodott-tiszaalpar-rossza-bantalmazas-lopas-bunugy-rendorseg.html https://www.origo.hu/sport/laza/20200723-natalia-guitler-teniszlabdakkal-trukkozik.html	hivatkozas	href
233530	<figure class=oa-image middle zoom data-maxheight=@STYLE data-maxwidth=@STYLE>	10.09536248	11.85335075	0	https://www.origo.hu/techbazis/20160111-izgalmas-webcimeket-jegyzett-be-az-apple.html https://www.origo.hu/gazdasag/20201206-liget-budapest-projekt-varosliget-muzeum-melygarazs.html https://www.origo.hu/tafelspicc/20160602-a-rantott-hus-orok-a-tobbi-csak-huncutsag.html https://www.origo.hu/itthon/20200501-keses-fenyegetes-hehalom-fefejeles-rendorseg.html https://www.origo.hu/tudomany/20190930-foorvos-a-hepatitis-cfertozes-evekig-evtizedekig-tunetmentes-lehet.html	media_tartalom	default
231879	<ul>	22.25763006	6.231797619	0	https://www.origo.hu/gazdasag/20030204helyreallt.html https://www.origo.hu/nagyvilag/20051109lelepnek.html https://www.origo.hu/nagyvilag/20220106-a-philadelphiai-lakastuzben-8-gyerek-halt-meg.html https://www.origo.hu/teve/20050319kiskamaszbol.html https://www.origo.hu/nagyvilag/20070421meghalt.html	lista	default
230817	<h3>	2.751175173	0.0002902732468	2.750811249	https://www.origo.hu/sport/futball/20161112-az-eszakir-szurkolok-megorultek-will-grigg-becserelesekor.html https://www.origo.hu/sport/egyeni/20101012-arn-greta-nem-jutott-be-a-legjobb-16-koze-az.html https://www.origo.hu/sport/futball/20170707-ferencvaros-kubatov-gabor-ultrak-targyalas-szurkolok-szemelyisegi-jogok-nelkul.html https://www.origo.hu/sport/egyeni/20180212-a-phjongcshangi-teli-olimpia-hetfoi-programja.html https://www.origo.hu/sport/eb/2008/20080623-euro2008-a-spanyol-sajto-casillast-hosse-avatta.html	cimsor	default
209429	<div class=news-item related>	4.868757431	1.99999045	0	https://www.origo.hu/sport/futball/20040124szenvedve.html https://www.origo.hu/gazdasag/hirek/20081125-kivarnak-a-balatoni-fejlesztesekkel-a-befektetok-gazdasag-fejlesztes-balaton.html https://www.origo.hu/sport/futball/20091009-nyeretlen-otthonaban-a-portugal-labdarugovalogatott-a-magyarok-elleni-vbselejtezo-elott.html https://www.origo.hu/sport/20101230-az-nfl-tizenhatodik-jatekhetenek-osszefoglaloja.html https://www.origo.hu/sport/futball/20120407-uj-edzovel-sem-nyert-a-pecs.html	default	default
209429	<a class=news-title href=@LINK title=@title>	4.868757431	0	4.868757431	https://www.origo.hu/sport/csapat/20061213negy.html https://www.origo.hu/sport/egyeni/20020930bodrogi.html https://www.origo.hu/sport/futball/20080511-kikapott-a-watford-a-hulltol-csoda-kene-a-feljutashoz.html https://www.origo.hu/sport/csapat/20031017szarnyalnak.html https://www.origo.hu/sport/csapat/20070103kiskezilabda.html	hivatkozas	href
199792	<div class=oa-box oab-related oab-leniaLeft>	20.6001892	8.271672539	0	https://www.origo.hu/itthon/20200127-hollik-dezsi-csaba-andras-megvalasztasaval-uj-korszak-kezdodik-gyor-eleteben.html https://www.origo.hu/auto/20020810gronholm.html https://www.origo.hu/auto/20151002-lapos-gumikkal-kozlekednek-a-magyarok.html https://www.origo.hu/nagyvilag/20070724-az-amerikai-hadsereg-2009-nyaraig-irak-teruleten-maradna.html https://www.origo.hu/itthon/20070706-nyilvanossagra-hoztak-az-oktober-23ai-zavargasokrol-keszult-pappjelentest.html	default	default
199792	<div class=oab-title>	2.179516697	0	2.179516697	https://www.origo.hu/itthon/20151204-szertet-ehseg-okumenikus-segelyszervezet-lehel-laszlo.html https://www.origo.hu/techbazis/2004121310millio.html https://www.origo.hu/itthon/20070814-kessel-szurt-a-biztonsagi-or-fele-egy-aruhazi-tolvaj-miskolcon.html https://www.origo.hu/itthon/20150930-vademeles-99-szer-szuro-ferfi-ellen.html https://www.origo.hu/itthon/20121015-dugokat-hozott-a-koruti-felujitas.html	default	default
199704	<p align=@STYLE>	11.56554701	1.157438008	8.737226095	https://www.origo.hu/palyabea/post/20100729-kepgaleria.html https://www.origo.hu/techbazis/20121003-kritikat-irt-a-windows-8rol-a-microsoft-tarsalapitoja.html https://www.origo.hu/auto/20101022-renault-espace-frissites.html https://www.origo.hu/itthon/20110119-a-westbalkan-dolga-lett-volna-a-januar-15i-rendezveny-biztositasa.html https://www.origo.hu/itthon/20110812-ket-holttestet-talaltak-a-fovaros-xvi-keruleteben.html	bekezdes	default
196911	<span class=p-mega>	13.14924001	1.009166578	0.003113081544	https://www.origo.hu/itthon/20170525-soros-egyik-szervezetenek-belso-jelentese-megmutatja-milyen-halozatot-epitett-ki-a-milliardos.html https://www.origo.hu/gazdasag/20151228-tokeemeles-fhb.html https://www.origo.hu/itthon/20210111-eveken-at-huzta-le-volt-elettarsat-egy-fiatal-no.html https://www.origo.hu/gazdasag/20190416-szijjarto-peter-az-energetika-hatarozza-meg-a-magyar-bolgar-kapcsolatokat.html https://www.origo.hu/gazdasag/20160227-a-piac-stabilitasat-szolgalo-intezkedesek-osszehangolasarol-allapodtak-meg-sanghajban-a-g20-ak.html	default	default
173713	<div class=article-recommendation-zones>	3	9	0	https://www.origo.hu/sport/egyeni/20211009-tenisz-vereseggel-tert-vissza-a-us-open-meglepetesbajnoka.html https://www.origo.hu/sport/futball/20190509-labdarugas-spanyol-foci-a-brazil-klasszis-lehet-a-blkudarc-elso-aldozata-a-barcanal.html https://www.origo.hu/sport/vb/2018/20180507-labdarugo-vilagbajnoksag-2018-b-csoport-iran.html https://www.origo.hu/sport/trashtalk/20040507nbamenesztettek.html https://www.origo.hu/sport/csapat/20020120egymast.html	decompose	default
173492	<div class=dinamic-related id=related-articles>	6	14	0	https://www.origo.hu/sport/futball/20170520-bundesliga-utolso-fordulo-osszefoglalo.html https://www.origo.hu/sport/futball/20200212-lionel-messi-fc-barcelona-manchester-city.html https://www.origo.hu/sport/20111122-kepernyon-a-mubenfica-a-napolimancity-es-a-teniszvebe.html https://www.origo.hu/sport/egyeni/20200508-conor-mcgregor-okolvivas-boksz-ketrecharc.html https://www.origo.hu/sport/egyeni/20200817-50-eves-kovacs-koko-istvan-portre.html	default	default
173488	<div id=article-center xmlns:msxsl=urn:schemas-microsoft-com:xslt xmlns:user=@LINK>	297.0837695	40.52419764	0	https://www.origo.hu/sport/futball/20170901-premier-league-chelsea-leicester-city-drinkwater-atigazolas.html https://www.origo.hu/sport/egyeni/20201205-alpesi-si-vilagkupa-santa-caterina-orisa-mulesiklas-szombat-filip-zubcic.html https://www.origo.hu/sport/csapat/20170514-roplabda-felkeszulesi-torna-a-magyar-a-es-b-valogatott-is-nyert.html https://www.origo.hu/sport/futball/20170223-primera-division-madridba-latogat-a-barcelona.html https://www.origo.hu/sport/futball/20170625-olasz-nemet-golorom-utan-fojtogatas-az-u21-es-eb-n-federico-bernardeschi-talalata-utan.html	default	default
172871	<article id=article-text>	286.3182489	31.44546512	2.464866866	https://www.origo.hu/sport/egyeni/20211023-tenisz-babos-timea-dontobe-jutott-a-hamburgi-tenisztornan.html https://www.origo.hu/sport/futball/20190610-magyarorszag-wales-europabajnoki-selejtezo-ryan-giggs-gareth-bale-aaron-ramsey.html https://www.origo.hu/sport/futball/20150122-etelt-osztottak-a-ferencvaros-jatekosai-a-raszoruloknak.html https://www.origo.hu/sport/20130110-kizartak-hornekat-a-dakaron.html https://www.origo.hu/sport/csapat/19990427szerdan.html	default	default
152339	<div class=cikk-obj>	7.847773715	3.781034404	0.003761348046	https://www.origo.hu/gazdasag/hirdetes/20200617-huawei-matebook.html https://www.origo.hu/sport/csapat/20200225-szapporoi-hos-lett-a-hokiszovetseg-altalanos-menedzsere-vas-marton-magyar-jegkorong.html https://www.origo.hu/itthon/20200326-szijjarto-peter-negyvenharom-magyart-hoztak-haza-izraelbol.html https://www.origo.hu/sport/futball/20150426-ausztraliabol-jelentkeztek-be-a-puskas-dijra.html https://www.origo.hu/nagyvilag/20190428-lovoldozes-volt-egy-kaliforniai-zsinagogaban.html	default	default
151877	<td valign=@STYLE>	1.471341941	0.9838487724	0.352792062	https://www.origo.hu/sport/trashtalk/20030401nbastat.html https://www.origo.hu/nagyvilag/19990615ket.html https://www.origo.hu/sport/vb/2006/20060524argentina.html https://www.origo.hu/nagyvilag/20000205falunkung.html https://www.origo.hu/sport/futball/20020428aserie.html	oszlop	default
131430	<cite>	20.02322149	0.01155748307	19.98029369	https://www.origo.hu/itthon/20160224-nepszavazas-migracio-orban-viktor-menekultek-mszp-dk-pm-lmp-jobbik.html https://www.origo.hu/nagyvilag/20190507-drasztikusan-csokkent-a-bunozes-matteo-salvini-belugyminisztersege-alatt.html https://www.origo.hu/gazdasag/20180718-rollsroyce-apro-csotanyrobotokat-tervez-a-repulogepeknek.html https://www.origo.hu/sport/focieb/20210619-magyarorszag-franciaorszag-fiola-attila-nyilatkozata-a-merkozes-utan.html https://www.origo.hu/itthon/20181123-orszagos-szinten-szegeden-a-legjobb-a-tanitokepzes.html	idezet	default
121514	<div style=@STYLE>	2.211671083	2.509513307	0.2117122307	https://www.origo.hu/sport/futball/20190629-labdarugas-mls-nikolics-cserekent-beallva-lott-golt-a-chicago-fireben-video.html https://www.origo.hu/filmklub/20180706-gal-gadot-julius-4-csuszda.html https://www.origo.hu/sport/futball/20170913-neymar-nem-fogadta-ifju-ellenfele-kezfogasat-anthony-ralston.html https://www.origo.hu/sport/vb/2018/20180709-ibrahimovic-elbucsuzott-a-svedek-sportmenedzseretol-fogadas-david-beckham-hallgat.html https://www.origo.hu/sport/laza/20220130-labdarugas-bulvar-igy-elvezik-a-legnagyobb-focisztarok-a-szabadsagukat-fotok.html	default	default
99382	<b>	3.499889316	0.1933750579	3.433760641	https://www.origo.hu/itthon/19990118azapaczai.html https://www.origo.hu/itthon/20000224keves.html https://www.origo.hu/nagyvilag/20000113emeltfoku.html https://www.origo.hu/itthon/20000925azmdf.html https://www.origo.hu/itthon/20020617megismetlik.html	felkover	default
