frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
394387	<img height=@STYLE loading=lazy src=@LINK width=@STYLE>	0	0	0	https://www.origo.hu/itthon/20171103-mvm-zrt-kecskemet-villamtolto-elektromos-auto-tolto.html https://www.origo.hu/tafelspicc/20190913-a-novenyi-vagy-az-allati-eredetu-feherje-a-jobb.html https://www.origo.hu/itthon/20200603-biciklizessel-es-edzessel-toltotte-elso-napjat-a-szabadulas-utan-kaiser.html https://www.origo.hu/auto/20140213-mclaren-650s-elozetes.html https://www.origo.hu/techbazis/20180518-locationsmart-telefon-bemeres-kemkedes.html	media_hivatkozas	src
244052	<span class=oai-zoom>	0	0	0	https://www.origo.hu/gazdasag/20181127-brit-kocsmak-bezartak-2001.html https://www.origo.hu/itthon/20180317-hadhazy-repules-mibol-mellebeszel.html https://www.origo.hu/nagyvilag/20160916-brusszel-nem-vonja-vissza-a-kvotakat-juncker.html https://www.origo.hu/nagyvilag/20171208-brexit-europai-unio-megallapodas.html https://www.origo.hu/filmklub/20180711-garyoldmanjessicaalbakillersanonymous.html	null	default
36207	<img alt=@alt height=@STYLE src=@LINK title=@title width=@STYLE>	0	0	0	https://www.origo.hu/techbazis/20090813-a-het-legjobb-letoltheto-szoftverei-2009-augusztus-15.html https://www.origo.hu/auto/20120314-a-versenypalyan-tovabb-el-a-saab.html https://www.origo.hu/nagyvilag/20120330-iran-noi-nindzsa-hadserege-orgyilkos-harcosok-vagy-feminista-sportolok.html https://www.origo.hu/tudomany/20120307-pikaia-gerinces-evolucio-gilisztaszeru-gerinchuros-volt-az-osszes-gerinces-ose.html https://www.origo.hu/sport/egyeni/20120130-djokovic-ez-sokkal-tobb-volt-egy-grand-slamgyozelemnel.html	media_hivatkozas	src
1349970	<br>	0	0	0	https://www.origo.hu/teve/20080410-recept-paradicsomos-lencse-ragu.html https://www.origo.hu/sport/trashtalk/20040420nhlkiesett.html https://www.origo.hu/sport/20180409-sportkozvetites-aprilis-9-hetfo.html https://www.origo.hu/sport/20070302nemertek.html https://www.origo.hu/sport/egyeni/20120625-babos-gyozott-a-wimbledoni-nyitonapon.html	null	default
30179	<img alt=@alt height=@STYLE src=@LINK width=@STYLE>	0	0	0	https://www.origo.hu/tudomany/20060917ujexobolygot.html https://www.origo.hu/itthon/20070331mavalaszt.html https://www.origo.hu/tudomany/20060324reszleges.html https://www.origo.hu/filmklub/20060309jeremy.html https://www.origo.hu/sport/egyeni/20031130ausztralia.html	media_hivatkozas	src
12088	<iframe allowfullscreen= frameborder=@NUM height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0	0	0	https://www.origo.hu/itthon/20160406-egyutt-bojkottalt-a-fidesz-es-az-mszp.html https://www.origo.hu/itthon/20160603-fust-arasztotta-el-az-rtlklub-szekhazat.html https://www.origo.hu/sport/futball/20180104-numancia-real-madrid-spanyol-kiraly-kupa.html https://www.origo.hu/sport/futball/20160225-europa-liga-olimpiakosz-anderlecht-athen-tomegverekedes-letartoztatasok.html https://www.origo.hu/sport/futball/20171025-carabao-cup-chelsea-tottenham-west-ham-everton.html	beagyazott_tartalom	src
60586	<span class=>	0	0	0	https://www.origo.hu/idojaras/20141222-kedden-is-lesznek-viharos-szelek.html https://www.origo.hu/itthon/20150502-botrany-a-blahan-nore-tamadt-a-jegy-nelkuli-ferfi.html https://www.origo.hu/gazdasag/20080812-gruzian-mulhat-az-eu-energiafuggosege-mol-gazprom-baku-tbiliszi-socar.html https://www.origo.hu/gazdasag/20131119-lassan-eledezik-az-europai-autopiac.html https://www.origo.hu/tafelspicc/20131202-interju-a-fekete-barany-biogazdasag-tulajdonosaival.html	null	default
77423	<span class=oai-nozoom>	0	0	0	https://www.origo.hu/itthon/20180702-fegyvert-fogott-budapesten-ket-idos-emberre-egy-rablo-aztan-elfutott.html https://www.origo.hu/gazdasag/20220316-100-forintos-penzerme-mnb-penzmuzeum.html https://www.origo.hu/gazdasag/20180613-euroban-fizetne-osztalekot-a-tozsdere-keszulo-bilk.html https://www.origo.hu/tudomany/20210118-nem-teljesen-egyertelmu-hogy-osszesen-hany-francia-forradalomrol-beszelhetunk.html https://www.origo.hu/techbazis/20180816-samsung-exynos-5100-5g-modem.html	null	default
10231	<iframe allow=@LONG allowfullscreen= frameborder=@NUM height=@STYLE src=@LINK width=@STYLE>	0	0	0	https://www.origo.hu/auto/20191122-az-m3ason-megtortent-a-legdramaibb-helyzet-a-sofor-reakcioja-peldamutato.html https://www.origo.hu/sport/futball/20210104-matthaus-lewandowski-gerd-muller-bayern-munchen.html https://www.origo.hu/itthon/20201222-harman-tamadtak-egy-emberre-budan.html https://www.origo.hu/tafelspicc/20190420-sajtostormakremes-sonkatekercs-a-locsolok-kedvence.html https://www.origo.hu/itthon/20201227-bedugult-a-24es-fout-gyongyosnel.html	beagyazott_tartalom	src
4318	<img align=@STYLE alt=@alt border=@NUM height=@STYLE src=@LINK title=@title width=@STYLE>	0	0	0	https://www.origo.hu/auto/20110914-maserati-kubang-a-frankfurti-autoszalonon.html https://www.origo.hu/auto/20130514-bemutattak-a-kinai-saab-95ot-a-senova-dt.html https://www.origo.hu/auto/20120110-hibrid-e-osztalyos-modellekkel-keszult-a-detroiti-szalonra-a-mercedes.html https://www.origo.hu/auto/20110516-234-kmoraval-szaguldott-egy-osztrak-bmws-az-m5oson.html https://www.origo.hu/auto/20101104-balesetveszelyes-ujautok.html	media_hivatkozas	src
