frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
35	<blockquote class=twitter-video data-lang=en-gb>	21.085714285714285	4.685714285714286	3.657142857142857	https://maszol.ro/sport/72521-vb-selejtez-a-belgak-parades-teljesitmennyel-zartak-az-evet https://maszol.ro/sport/71595-wta-vb-kuznyecovanak-bevalt-a-rogtonzott-hajvagas https://maszol.ro/sport/72414-vb-selejtez-a-brazilok-lefociztak-argentinat https://maszol.ro/sport/73985-n-i-kezilabda-eb-eluszott-az-el-dont-a-roman-valogatott-szamara https://maszol.ro/sport/82629-frissitve-halep-tovabbjutott-niculescu-kiesett-az-angliai-tornan	social_media	default	
1	<div class=article_solidheader>	5.0	2.0	0.0	https://maszol.ro/eletmod/Itt-a-tavasz-elso-meteorraja-tuzgombokkel-erkezhetnek-a-hullocsillagok	default	default	decomposed
1657	<div class=btag>	4.15992757996379	5.408569704284852	0.0	https://maszol.ro/belfold/Raduly-Istvan-uzoni-polgarmestert-nevesitettek-haromszeki-prefektusnak https://maszol.ro/belfold/A-masodik-szakaszban-az-allami-intezmenyek-kulcsfontossagu-dolgozoi-kaphatjak-meg-a-vakcinat https://maszol.ro/belfold/Vedelmebe-vette-a-PSD-Renate-Weber-ombudsmant https://maszol.ro/gazdasag/Negyedere-csokkentek-Romaniaban-az-ontozott-teruletek-a-rendszervaltas-ota https://maszol.ro/belfold/Az-oltasigazolasok-elismereset-is-kezdemenyeztek-a-magyarroman-kulugyminiszteri-talalkozon	default	default	decomposed
151	<div class=infogram-embed data-id=@LONG data-title=@LONG data-type=interactive>	0.033112582781456956	0.013245033112582781	0.0	https://maszol.ro/belfold/Kevesebb-az-uj-fertozes-de-nott-az-intenziv-osztalyon-apoltak-szama https://maszol.ro/belfold/6000-nel-tobb-uj-eset-van-folyamatosan-no-a-sulyos-betegek-szama https://maszol.ro/belfold/Az-elvegzett-tesztek-14-szazaleka-mutatott-pozitiv-eredmenyt-az-elmult-24-oraban https://maszol.ro/belfold/Magas-az-egy-nap-alatt-elhunytak-szama-az-aktiv-fertozottek-szama-tovabb-csokkent https://maszol.ro/belfold/Tovabb-emelkedett-az-aktiv-esetek-szama	default	default	decomposed
15	<div class=meta-text>	3.0	15.0	0.0	https://maszol.ro/kultura/128645-iden-elmarad-a-merai-vilagzenei-fesztival https://maszol.ro/belfold/108407-nincs-bocsanat-arra-a-bakira-amit-az-egyik-legnagyobb-divathaz-elkovetett https://maszol.ro/belfold/104443-frissitve-elerte-az-orszagot-a-hideg-legaramlat-gyilkoston-is-s-r-n-havazik https://maszol.ro/sport/87665-aron-palmarsson-rekordosszegert-igazolt-barcelonaba https://maszol.ro/gazdasag/135206-alairta-soos-zoltan-a-marosvasarhelyi-terel-ut-els-ket-szakaszanak-a-finanszirozasat	default	default	decomposed
1659	<div class=right>	35.71729957805907	10.40084388185654	0.0	https://maszol.ro/eletmod/Ez-az-5-problema-negativan-befolyasolja-a-szexualis-egyuttletet https://maszol.ro/kulfold/Kollegai-szerint-Joe-Biden-lassan-dont-lobbanekony-es-turelmetlen https://maszol.ro/belfold/Vedelmebe-vette-a-PSD-Renate-Weber-ombudsmant https://maszol.ro/eletmod/Mikroban-melegiti-az-etelet-Ez-tortenik-a-taplalekaval-es-a-szervezetevel https://maszol.ro/belfold/Szemleletvaltast-javasol-a-hatranyos-helyzetuekrol-torteno-gondolkodasban-Makkai-Peter-allamtitkar	default	default	decomposed
1	<div id=abox_paceholder style=@STYLE>	5.0	1.0	5.0	https://maszol.ro/velemeny/Szamok-szamok-szamok	decompose	default	decomposed
2404	<div id=abox_paceholder>	5.0	1.0	5.0	https://maszol.ro/belfold/Megkezdtek-az-aradi-egeszsegugyi-szemelyzet-oltasat https://maszol.ro/belfold/Elkezdodott-az-online-tanitas-a-vegzos-evfolyamok-szamara https://maszol.ro/kulfold/Bekerettek-Pozsonyban-a-magyar-nagykovetet https://maszol.ro/kulfold/Robbantasos-merenylet-tortent-az-afganisztani-NATO-csapatok-kivonasanak-elso-napjan https://maszol.ro/gazdasag/Esely-a-penzmegtakaritasra-varhatoan-meghosszabbitjak-az-aramszolgaltato-valtas-hataridejet	decompose	default	decomposed
15	<span class=author>	1.0	0.0	1.0	https://maszol.ro/sport/87665-aron-palmarsson-rekordosszegert-igazolt-barcelonaba https://maszol.ro/kulfold/89751-moszkva-egyenl-nyelvi-jogokat-surget-kijevt-l-a-nemzeti-kisebbsegek-szamara https://maszol.ro/belfold/105571-most-a-vilag-legszebb-n-je https://maszol.ro/kultura/128645-iden-elmarad-a-merai-vilagzenei-fesztival https://maszol.ro/sport/123924-hosszu-katinka-bizonytalansagban-keszul	decompose	default	decomposed
1	<. a= ahhoz= ak= alak= amelyeket= ami= az= azokat= eln= fogalmazott= fontosnak= j= kell= kih= mostani= munkav= nek= nemzed= rmdsz= sz= tanul= tartotok= term= ti= van= venn=>	45.0	3.0	0.0	https://maszol.ro/belfold/105816-kelemen-hatarozottan-kell-kepviselnunk-azt-amit-a-kozepiskolasok-gondolnak	default	default	
1	<a da= data-ft={"tn":"l"} src=@LINK>	3.0	5.0	3.0	https://maszol.ro/belfold/44137-nezzen-olelkezo-magyarokat-es-romanokat-galeria	default	default	
1	<a data-ft={"tn&q src=@LINK>	2.0	1.0	2.0	https://maszol.ro/belfold/44137-nezzen-olelkezo-magyarokat-es-romanokat-galeria	default	default	
1	<a data-hovercard=/ajax/hovercard/use src=@LINK>	2.0	1.0	2.0	https://maszol.ro/belfold/44137-nezzen-olelkezo-magyarokat-es-romanokat-galeria	default	default	
6	<a>	1.0	0.0	1.0	https://maszol.ro/eletmod/111460-szekelybacillust-irtak-le-a-szent-anna-tobol-a-sapientia-es-az-elte-kutatoi https://maszol.ro/velemeny/A-Hanoi-torony-problemaja https://maszol.ro/eletmod/81088-hargitai-a-romaniabol-els-kent-leirt-uj-bakteriumnemzetseg	default	default	
1	<address>	3.0	1.0	0.0	https://maszol.ro/kulfold/Macronnal-egyeztetett-elsokent-Biden-az-EU-tagallamainak-vezetoi-kozul	default	default	
1	<article class=container>	69.0	3.0	0.0	https://maszol.ro/sport/Visszaterhetnek-a-szurkolok-a-lelatokra	default	default	
23	<article class=featured>	10.956521739130435	8.391304347826088	0.0	https://maszol.ro/sport/123924-hosszu-katinka-bizonytalansagban-keszul https://maszol.ro/kultura/128645-iden-elmarad-a-merai-vilagzenei-fesztival https://maszol.ro/belfold/89254-otvenszer-fekudt-kes-ala-hogy-peldakepehez-hasonlitson-sikerult https://maszol.ro/sport/62357-hosszu-katinka-kopaszra-borotvalta-a-fejet-aaaaaa https://maszol.ro/gazdasag/135206-alairta-soos-zoltan-a-marosvasarhelyi-terel-ut-els-ket-szakaszanak-a-finanszirozasat	default	default	
1	<article>	23.0	4.0	0.0	https://maszol.ro/belfold/97136-rejtelyes-korulmenyek-kozott-egett-ki-egy-temesvari-ujsagiro-autoja	default	default	
1	<b class=ProfileTweet-fullname u-linkComplex-target>	2.0	0.0	2.0	https://maszol.ro/sport/30714-mar-gyulekeznek-a-corinthians-stadionban-galeria	default	default	
124	<b>	11.53225806451613	0.25806451612903225	10.637096774193548	https://maszol.ro/belfold/125839-koronavirus-szekelyfoldon-hargita-megyeben-eggyel-haromszeken-neggyel-n-tt-az-esetszam https://maszol.ro/belfold/95459-igy-meg-nem-lattad-kim-kardashiant https://maszol.ro/eletmod/90704-ennyit-lassult-a-windows-10-az-uj-biztonsagi-javitasoktol https://maszol.ro/belfold/95315-frissitve-fulladas-okozta-a-raftingozo-ferfi-halalat https://maszol.ro/eletmod/83083-medvek-es-sarkanyok-sleny-gyorstalpalon-jartunk-a-vibe-fesztivalon	default	default	
1	<bdi lang=ro>	2.0	0.0	2.0	https://maszol.ro/belfold/Igy-akadalyoznak-meg-a-Gyilkos-to-teljes-eltuneset	default	default	
4	<big>	3.5	0.0	3.5	https://maszol.ro/eletmod/113791-melege-van-igyon-teat-vagy-fogyasszon-csip-s-eteleket	default	default	
1	<blockqu class=twitter-tweet data-lang=en ote=>	58.0	5.0	0.0	https://maszol.ro/belfold/62532-ez-a-99-eves-gabor-zsazsa-utolso-kivansaga	default	default	
1	<blockquote cite=@LINK style=@STYLE>	54.0	3.0	6.0	https://maszol.ro/belfold/49949-roman-amerikai-hadgyakorlat-kezd-dott-aranyosgyeresen	default	default	
175	<blockquote cite=@LINK>	31.931428571428572	2.7257142857142855	3.8285714285714287	https://maszol.ro/kultura/60825-oscar-dij-meghitt-hangulat-varja-a-dijatadokat-a-dolby-szinhazban https://maszol.ro/eletmod/54797-harminc-eve-josolta-meg-a-vissza-a-jov-be-film-2015-oktober-21-et https://maszol.ro/belfold/51504-az-azomure-kornyezetszennyezese-ellen-tuntetnek-marosvasarhelyen https://maszol.ro/kulfold/61639-alakulofelben-a-smer-most-sns-sie-kormany https://maszol.ro/belfold/62439-ho-bort-napokat-tartottak-a-madarasi-hargitan	default	default	
14	<blockquote cite=@LONG>	33.857142857142854	2.357142857142857	6.5	https://maszol.ro/sport/47747-kosarlabda-pokolian-nehez-helyzetben-a-marosvasarhelyi-bc https://maszol.ro/belfold/49387-az-evtized-bunyojara-keszulnek-szekelyudvarhelyen https://maszol.ro/belfold/47444-ezek-az-erdok-kiralyanak-tartjak-magukat https://maszol.ro/belfold/49984-kanalisbol-mentettek-ki-kacsakat-besztercebanyan https://maszol.ro/sport/46716-fovarosi-sikerevel-a-marosvasarhelyi-asa-a-liga-1-uj-ellovasa	default	default	
1	<blockquote class=imgur-embed-pub data-id=@NUM lang=en>	7.0	1.0	0.0	https://maszol.ro/belfold/83318-budapesten-keszult-az-ev-eddigi-legbizarrabb-szelfije	default	default	
1	<blockquote class=imgur-embed-pub data-id=NmZYZyz lang=en>	3.0	1.0	0.0	https://maszol.ro/eletmod/92045-mutatjuk-a-nagy-cernabef-z-s-trukkot	default	default	
37	<blockquote class=instagram-media data-instgrm-captioned= data-instgrm-permalink=@LINK data-instgrm-version=@NUM style=@STYLE>	38.62162162162162	27.675675675675677	0.0	https://maszol.ro/kultura/Varatlan-fordulat-Billie-Eilish-fehernemuben-pozolt-a-Vogue-cimlapjan https://maszol.ro/belfold/90580-igy-boritotta-be-a-ho-amerikat-egy-ejszaka-alatt-video https://maszol.ro/belfold/91111-tobbtucatnyian-bennegtek-egy-buszban https://maszol.ro/eletmod/Ime-2021-lakberendezesi-trendjei https://maszol.ro/kulfold/Ehsegsztrajkba-kezdett-a-bortonben-Alekszej-Navalnij	social_media	default	
5	<blockquote class=instagram-media data-instgrm-version=@NUM style=@STYLE>	14.0	6.0	0.0	https://maszol.ro/belfold/74343-kerekesszekkel-erte-el-a-deli-sarkot-egy-sved-ferfi https://maszol.ro/belfold/86521-nem-engedtek-at-a-hataron-az-enekesn-t-mert-nem-hittek-el-hogy-41-eves https://maszol.ro/kulfold/67327-tomegpanik-alakult-ki-a-muncheni-metroban https://maszol.ro/kultura/66428-buszok-is-indulnak-a-double-rise-fesztivalra https://maszol.ro/eletmod/58914-foldeteres-utan-felrobbant-a-spacex-raketaja	social_media	default	
2	<button class=@buttonNUM @blackNUM @displayNUM onclick=@plusDivsNUM>	1.0	0.0	1.0	https://maszol.ro/kulfold/121451-csak-holttesteket-talaltak-a-romok-alatt-a-torok-ment-csapatok	default	default	
9	<button class=btn btn-maszol id=dismiss_cookie>	1.0	0.0	1.0	https://maszol.ro/sport/62357-hosszu-katinka-kopaszra-borotvalta-a-fejet-aaaaaa https://maszol.ro/belfold/89675-es-csodalkozunk-hogy-romaniaban-kesnek-a-vonatok https://maszol.ro/gazdasag/135206-alairta-soos-zoltan-a-marosvasarhelyi-terel-ut-els-ket-szakaszanak-a-finanszirozasat https://maszol.ro/belfold/104443-frissitve-elerte-az-orszagot-a-hideg-legaramlat-gyilkoston-is-s-r-n-havazik https://maszol.ro/belfold/108407-nincs-bocsanat-arra-a-bakira-amit-az-egyik-legnagyobb-divathaz-elkovetett	default	default	
5	<caption style=@STYLE>	4.4	0.0	4.4	https://maszol.ro/sport/64645-eszmeletlen-napot-zartak-a-magyarok-a-londoni-vizes-eb-n https://maszol.ro/sport/113070-bl-otre-sz-kult-a-kolozsvari-cfr-lehetseges-ellenfeleinek-tabora https://maszol.ro/sport/64751-tiz-aranyeremmel-magyarorszag-nyerte-a-londoni-vizes-eb-t https://maszol.ro/sport/58304-euro-2016-oriasi-a-kereslet-a-magyar-valogatott-meccsei-irant https://maszol.ro/sport/43627-noi-kezi-bl-masodszor-is-kikapott-a-larviktol-a-cimvedo-gyor	default	default	
26	<caption>	2.8461538461538463	0.07692307692307693	2.5	https://maszol.ro/sport/6260-gorbiczek-a-romanok-testen-at-jutottak-az-elodontobe https://maszol.ro/sport/9923-fifa-vilagranglista-parban-jarq-a-roman-es-magyar-valogatott https://maszol.ro/sport/6774-premier-league-nyertek-a-manchesteri-nagyok https://maszol.ro/sport/6810-jacobsen-nyerte-a-negysancverseny-garmischi-fordulojat-is https://maszol.ro/sport/109766-2020-as-eb-selejtez-bravuros-magyar-gy-zelem-a-vb-ezustermes-horvatorszag-ellen	default	default	
1	<ch_t>	180.0	0.0	180.0	https://maszol.ro/belfold/125476-megbirsagoltak-a-tiltas-ellenere-misez-kolozsvari-ortodox-papot	default	default	
48	<cite>	6.729166666666667	0.3333333333333333	5.916666666666667	https://maszol.ro/belfold/83637-kisebbsegben-politikai-ter-ha-civilizaljak https://maszol.ro/kulfold/9815-egy-het-magyarsagpolitikai-irasaibol-marcius-6-12 https://maszol.ro/belfold/32139-kisebbsegben-regiok-szomszedsag-onrendelkezes https://maszol.ro/belfold/36487-kisebbsegben-regiok-szomszedsag-onrendelkezes https://maszol.ro/belfold/94355-kisbbsegben-magyar-kiralyi-atmenetisegekt-l-az-alaptorvenyig	default	default	
2	<div align=@STYLE style=@STYLE>	42.0	0.5	40.5	https://maszol.ro/belfold/109404-frissitve-romania-autopalyat-akar-reszben-megallt-az-elet-15-percre-az-orszagban https://maszol.ro/belfold/124668-a-koronavirus-erdelyben-online-kerd-ives-felmeres-keszul-a-jarvanyrol	default	default	
8	<div align=@STYLE>	12.0	4.5	5.25	https://maszol.ro/kulfold/72276-amerika-szavaz-hillary-clinton-vagy-donald-trump-percr-l-percre https://maszol.ro/belfold/5383-ritka-latvany-feher-fekete-ikerparos https://maszol.ro/kulfold/134353-elnokvalasztas-az-egyesult-allamokban-joe-biden-vagy-donald-trump-percr-l-percre	default	default	
1	<div aria-owns=@NUM data-testid=messenger_incoming_text_row>	16.0	5.0	0.0	https://maszol.ro/sport/Liga-1-hat-golos-pontosztozkodas-a-tengerparton	default	default	
1	<div class= id=content-toggle-placeholder>	104.0	6.0	0.0	https://maszol.ro/kulfold/Ismet-szennyar-zudul-Magyarorszagra-Romaniabol	default	default	
1	<div class=@contentNUM @containerNUM>	1.0	12.0	0.0	https://maszol.ro/kulfold/121451-csak-holttesteket-talaltak-a-romok-alatt-a-torok-ment-csapatok	default	default	
13	<div class=@LONG>	49.30769230769231	5.0	0.0	https://maszol.ro/kulfold/Japan-vasarnap-ejfeltol-nem-ad-vizumot-kuelfoeldieknek-az-uj-virustoerzs-felbukkanasa-miatt https://maszol.ro/sport/Husvetkor-sem-all-le-a-Bundesliga https://maszol.ro/kulfold/Pozitiv-lett-a-sved-koronahercegno-es-ferje-koronavirustesztje https://maszol.ro/kulfold/Az-Egyesult-Allamok-es-Kanada-egyutt-lep-fel-Kinaval-szemben	default	default	
2	<div class=@NUM ajU>	14.5	2.0	0.0	https://maszol.ro/belfold/54871-a-kozvitat-hianyolja-a-levelszavazas-kapcsan-biro-rozalia https://maszol.ro/belfold/53016-szul-kent-legyunk-repul-ter-nevelesr-l-csikban	default	default	
9	<div class=@NUM text-center text-md-center>	4.0	20.0	0.0	https://maszol.ro/belfold/105571-most-a-vilag-legszebb-n-je https://maszol.ro/belfold/104443-frissitve-elerte-az-orszagot-a-hideg-legaramlat-gyilkoston-is-s-r-n-havazik https://maszol.ro/belfold/89675-es-csodalkozunk-hogy-romaniaban-kesnek-a-vonatok https://maszol.ro/gazdasag/135206-alairta-soos-zoltan-a-marosvasarhelyi-terel-ut-els-ket-szakaszanak-a-finanszirozasat https://maszol.ro/sport/62357-hosszu-katinka-kopaszra-borotvalta-a-fejet-aaaaaa	default	default	
9	<div class=@NUM text-center text-md-left @NUM>	9.0	9.0	3.0	https://maszol.ro/belfold/108407-nincs-bocsanat-arra-a-bakira-amit-az-egyik-legnagyobb-divathaz-elkovetett https://maszol.ro/sport/123924-hosszu-katinka-bizonytalansagban-keszul https://maszol.ro/belfold/89254-otvenszer-fekudt-kes-ala-hogy-peldakepehez-hasonlitson-sikerult https://maszol.ro/kultura/128645-iden-elmarad-a-merai-vilagzenei-fesztival https://maszol.ro/belfold/89675-es-csodalkozunk-hogy-romaniaban-kesnek-a-vonatok	default	default	
9	<div class=@NUM text-center text-md-right @NUM @NUM>	4.0	8.0	0.0	https://maszol.ro/belfold/104443-frissitve-elerte-az-orszagot-a-hideg-legaramlat-gyilkoston-is-s-r-n-havazik https://maszol.ro/belfold/89254-otvenszer-fekudt-kes-ala-hogy-peldakepehez-hasonlitson-sikerult https://maszol.ro/kultura/128645-iden-elmarad-a-merai-vilagzenei-fesztival https://maszol.ro/belfold/108407-nincs-bocsanat-arra-a-bakira-amit-az-egyik-legnagyobb-divathaz-elkovetett https://maszol.ro/belfold/89675-es-csodalkozunk-hogy-romaniaban-kesnek-a-vonatok	default	default	
1	<div class=@NUM userContent _3576 data-ft={ data-testid=post_message id=js_lc style=@STYLE>	134.0	4.0	0.0	https://maszol.ro/belfold/127631-tobb-szazezer-egeszsegre-veszelyes-maszkot-vontak-ki-a-forgalombol	default	default	
1	<div class=actual-content>	31.0	2.0	0.0	https://maszol.ro/belfold/63273-dorin-florea-fuggetlenkent-indul-a-marosvasarhelyi-polgarmesteri-tisztsegert	default	default	
1	<div class=advert wrapper u-observed embeddable-widget data-init-when-visible=true data-initialised=true data-observable-id=@LONG data-script=wta_ads data-widget=site-ad id=@LONG>	28.0	0.0	28.0	https://maszol.ro/sport/Noi-tenisz-Arina-Szabalenka-nyerte-az-ev-elso-tornajat-Abu-Dzabiban	default	default	
8	<div class=advert wrapper u-observed embeddable-widget data-init-when-visible=true data-initialised=true data-observable-id=@LONG data-script=wta_ads data-widget=site-ad>	13.5	0.125	13.25	https://maszol.ro/sport/Noi-tenisz-Arina-Szabalenka-nyerte-az-ev-elso-tornajat-Abu-Dzabiban	default	default	
1	<div class=ajR data-tooltip=@LONG id=:133 role=button tabindex=@NUM>	29.0	1.0	29.0	https://maszol.ro/belfold/53016-szul-kent-legyunk-repul-ter-nevelesr-l-csikban	default	default	
1	<div class=article_lead>	26.0	2.0	0.0	https://maszol.ro/belfold/40292-megsem-nyilik-ujra-a-pirate-bay	default	default	
