frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
2	<a brake= cla= data-gallery_article=@LONG data-gallery_open= data-gallery_selected=@LONG gal= plugin= shooting= title=@title>	0	1	0	https://hvg.hu/cegauto/20210307_Mercedes_CLA_Shooting_Brake_plugin_teszt_nem_csak_azert_jo_mert_magyar	hivatkozas	default
2	<img alt=@alt brake= cla= gal= itemprop=url plugin= shooting= src=@LINK>	0	0	0	https://hvg.hu/cegauto/20210307_Mercedes_CLA_Shooting_Brake_plugin_teszt_nem_csak_azert_jo_mert_magyar	media_hivatkozas	src
2	<a data-gallery_article=@LONG data-gallery_open= data-gallery_selected=@LONG fabia= gal= km= milli= title=@title>	0	1	0	https://hvg.hu/cegauto/20161229_tesztautok_2016 https://hvg.hu/cegauto/20161025_Tizeves_Skoda_Fabia_13_millioval__a_vicc_hogy_ez_nem_az_ara	hivatkozas	default
2	<img alt=@alt fabia= gal= itemprop=url km= milli= src=@LINK>	0	0	0	https://hvg.hu/cegauto/20161229_tesztautok_2016 https://hvg.hu/cegauto/20161025_Tizeves_Skoda_Fabia_13_millioval__a_vicc_hogy_ez_nem_az_ara	media_hivatkozas	src
2	<img alt=@alt itemprop=url src=@LINK w196=>	0	0	0	https://hvg.hu/cegauto/20130717_Egy_F1es_Ezustnyil_lett_a_tortenelem_leg	media_hivatkozas	src
2	<img alt=@alt cs-r3= gt86= itemprop=url src=@LINK>	0	0	0	https://hvg.hu/cegauto/20140730_Vbfutamon_teszteli_a_GT86os_raliautot_a	media_hivatkozas	src
2	<a data-gallery_article=@LONG data-gallery_open= data-gallery_selected=@LONG gal= i3= title=@title>	0	1	0	https://hvg.hu/cegauto/20141031_BMW_i3_teszt https://hvg.hu/cegauto/20161112_bmw_i3teszt	hivatkozas	default
2	<img alt=@alt gal= i3= itemprop=url src=@LINK>	0	0	0	https://hvg.hu/cegauto/20161112_bmw_i3teszt https://hvg.hu/cegauto/20141031_BMW_i3_teszt	media_hivatkozas	src
2	<iframe allowfullscreen= height=@STYLE mozallowfullscreen= src=@LINK webkitallowfullscreen= width=@STYLE>	0	0	0	https://hvg.hu/ingatlan/20140205_Video_meg_az_iden_elkeszul_a_londoni_giga https://hvg.hu/cegauto/20140912_Ez_kesz__igy_kell_kiszallni_egy_autobol	beagyazott_tartalom	src
2	<a a= data-gallery_article=@LONG data-gallery_open= data-gallery_selected=@LONG fot= ogier= polo= r= title=@title vw= wrc=>	0	1	0	https://hvg.hu/cegauto/20130211_Maris_megvan_a_VW_Polo_R_WRC_elso_gyozelm	hivatkozas	default
2	<img a= alt=@alt fot= itemprop=url ogier= polo= r= src=@LINK vw= wrc=>	0	0	0	https://hvg.hu/cegauto/20130211_Maris_megvan_a_VW_Polo_R_WRC_elso_gyozelm	media_hivatkozas	src
2	<img alt=@alt aventador= itemprop=url src=@LINK st=>	0	0	0	https://hvg.hu/cegauto/20140217_Itt_a_Lamborghini_Aventador_vizi_megfelel	media_hivatkozas	src
2	<img alt=@alt itemprop=url s-cross= src=@LINK>	0	0	0	https://hvg.hu/cegauto/20130206_Ime_az_uj_esztergomi_Suzuki__fotok_video	media_hivatkozas	src
2	<img alt=@alt itemprop=url panda= src=@LINK>	0	0	0	https://hvg.hu/cegauto/20130213_Rekordot_dontott_a_Fokvarosbol_Londonba_s	media_hivatkozas	src
2	<a csoportm= data-gallery_article=@LONG data-gallery_open= data-gallery_selected=@LONG franciaorsz= title=@title vil=>	0	1	0	https://hvg.hu/sport/20180621_FranciaorszagPeru_10 https://hvg.hu/sport/20180621_Focivb_a_kicsik_jatszottak_nagyot_mennybe_mentek_a_horvatok	hivatkozas	default
2	<img alt=@alt csoportm= franciaorsz= itemprop=url src=@LINK vil=>	0	0	0	https://hvg.hu/sport/20180621_FranciaorszagPeru_10 https://hvg.hu/sport/20180621_Focivb_a_kicsik_jatszottak_nagyot_mennybe_mentek_a_horvatok	media_hivatkozas	src
2	<blockquote class=lx-stream-post-quote--default lx-stream-post-quote>	0	0	0	https://hvg.hu/vilag/20160918_new_york_robbantas_szemtanu_serult	null	default
2	<img a= alt=@alt hilton= itemprop=url mclaren= mp4-12c= spider= src=@LINK>	0	0	0	https://hvg.hu/cegauto/20140117_McLarenraketat_vasarolt_Paris_Hilton__f	media_hivatkozas	src
2	<img alt=@alt itemprop=url nation= rogue= src=@LINK>	0	0	0	https://hvg.hu/cegauto/20150324_Tom_Cruise_BMWket_nyuz_az_uj_MissionImpo	media_hivatkozas	src
2	<a alhambra= data-gallery_article=@LONG data-gallery_open= data-gallery_selected=@LONG gal= title=@title>	0	1	0	https://hvg.hu/cegauto/20160809_Seat_Alhambrateszt	hivatkozas	default
2	<img alhambra= alt=@alt gal= itemprop=url src=@LINK>	0	0	0	https://hvg.hu/cegauto/20160809_Seat_Alhambrateszt	media_hivatkozas	src
2	<img alt=@alt balesete= durva= indi= itemprop=url src=@LINK>	0	0	0	https://hvg.hu/cegauto/20141029_Fanak_csapodott_es_ketteszakadt_egy_3as	media_hivatkozas	src
2	<div id=@aCgfjVTqNUM>	0	0	0	https://hvg.hu/kultura/20171124_a_kutyak_szigete_wes_anderson_elozetes https://hvg.hu/kultura/20171204_Wes_Anderson_kedvenc_fesztivaljan_mutatja_be_uj_animacios_filmjet	null	default
2	<iframe allow=@LONG allowfullscreen=true allowtransparency=true frameborder=@NUM height=@STYLE mozallowfullscreen=true scrolling=no src=@LINK webkitallowfullscreen=true width=@STYLE>	0	0	0	https://hvg.hu/tudomany/20200921_ausztral_tudosok_vak_latasserult_bionikus_szem_implantatum_latas_visszanyerese https://hvg.hu/elet/20191126_Ripityara_verte_a_betorot_a_82_eves_amerikai_nagymama	beagyazott_tartalom	src
2	<iframe allowfullscreen= frameborder=@NUM height=@STYLE id=@embedNUM scrolling=no src=@LINK width=@STYLE>	0	0	0	https://hvg.hu/tudomany/20200825_solarstratos_elektromos_repulogep_szabadeses https://hvg.hu/tudomany/20181019_Szombaton_indul_a_brit_Merkurszonda	beagyazott_tartalom	src
2	<img alt=@alt cc100= itemprop=url martin= src=@LINK>	0	0	0	https://hvg.hu/cegauto/20130729_Tobb_mint_170_millioert_kelt_el_az_Aston	media_hivatkozas	src
2	<img alt=@alt forrail= itemprop=url src=@LINK>	0	0	0	https://hvg.hu/cegauto/20150629_Valodi_sinautot_epitettek_az_uj_Smartbol	media_hivatkozas	src
2	<a data-gallery_article=@LONG data-gallery_open= data-gallery_selected=@LONG gal= title=@title tt=>	0	1	0	https://hvg.hu/cegauto/20140919_Audi_TT_menetproba	hivatkozas	default
2	<img alt=@alt gal= itemprop=url src=@LINK tt=>	0	0	0	https://hvg.hu/cegauto/20140919_Audi_TT_menetproba	media_hivatkozas	src
2	<div class=infogram-embed data-id=@LONG data-title=@TrumpNUM data-type=interactive>	0	0	0	https://hvg.hu/gazdasag/20201108_Es_akkor_ https://hvg.hu/gazdasag/20201102_Donald_Trump_negy_ev_grafikon_szamok_usa_valasztas	abra	default
2	<iframe allowfullscreen=true allowtransparency=true frameborder=@NUM height=@STYLE mozallowfullscreen=true scrolling=no src=@LINK webkitallowfullscreen=true width=@STYLE>	0	0	0	https://hvg.hu/elet/20210216_berlin_helikopter_felelotlen_rendorseg_jeg https://hvg.hu/cegauto/20150917_Ilyet_meg_a_kozteresek_is_ritkan_latnak_i	beagyazott_tartalom	src
2	<img alt=@alt bull= itemprop=url megane= rb8= red= src=@LINK>	0	0	0	https://hvg.hu/cegauto/20130722_Itt_a_kozuti_Red_BullRenault__fotok	media_hivatkozas	src
