frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
32	<small>	7.375	9.1875	4.53125	https://magyarnarancs.hu/lelek/hogyan_baratkozik_a_magyar_remeteelet-59475 https://magyarnarancs.hu/belpol/a_fold_arnyekos_oldala_diamanda_galas-54791 https://magyarnarancs.hu/tudomany/a_kozoktatas_ellentmondasos_kihivasai_en_keszultem-58698 https://magyarnarancs.hu/publicisztika/egni_kell-53725 https://magyarnarancs.hu/belpol/jogeros_itelet_a_kizart_meleg_diak_ugyeben_a_vilagi_felsobbseg-61487	default	default
16	<p class=blanktag>	32.3125	0.0625	31.9375	https://magyarnarancs.hu/kulpol/nso-alapito-ha-van-olyan-ugyfelunk-aki-ujsagirokat-vesz-celba-nem-lesz-tobbe-az-ugyfelunk-240322	bekezdes	default
10	<p class=western style=@STYLE>	41.4	4.9	36.1	https://magyarnarancs.hu/interaktiv/apa-a-fiaival-a-pesti-sracok-szerint-homoszexualis-par-a-gyerekevel-241284 https://magyarnarancs.hu/sorkoz/ingyen-meszoly-kotet-jar-diakigazolvanyert-238531 https://magyarnarancs.hu/szinhaz2/nem-kerulhetjuk-ki-a-totalitarizmust-240717	bekezdes	default
10	<p class=zn-body__paragraph speakable data-paragraph-id=@LONG>	33.5	0.4	30.7	https://magyarnarancs.hu/kulpol/felveteleket-kozolt-a-cnn-egy-belarusz-fogolytaborrol-240732	bekezdes	default
8	<div title=@NUM>	168.625	11.125	11.875	https://magyarnarancs.hu/belpol/torveny-tiltana-a-muanyag-szatyrokat-112560 https://magyarnarancs.hu/gazdasag/reszletek-gazdasagvedelmi-csomag-kkv-129248 https://magyarnarancs.hu/belpol/kiiktatnak-hando-kritikusait-114337 https://magyarnarancs.hu/belpol/uj-allami-fogalom-a-kiemelt-sportesemeny-112420 https://magyarnarancs.hu/belpol/meghatralt-az-aldi-kaphato-lesz-a-magyar-hang-117980	default	default
8	<a href=@LINK style=@STYLE target=@target title=@title>	1.25	0.5	0.5	https://magyarnarancs.hu/belpol/index-131791	hivatkozas	href
5	<p dir=ltr lang=und>	10.6	2.2	8.6	https://magyarnarancs.hu/masvalaki_problemaja/feljunk-e-a-robot-iroktol-106493 https://magyarnarancs.hu/kulpol/olyan-mint-most-meg-sohasem-tortent-belaruszban-nem-gumibottal-hanem-femruddal-vertek-az-embereket-132367 https://magyarnarancs.hu/mikrofilm/john-cleese-donald-trump-134962 https://magyarnarancs.hu/katasztrofa/kigyulladt-a-parizsi-notre-dame-118960 https://magyarnarancs.hu/mikrofilm/konnyen-lehet-hogy-nemes-jeles-laszlo-uj-filmje-a-saul-fianal-is-nagyobbat-fog-szolni-112622	bekezdes	default
5	<a class=western href=@LINK>	1.8	0.2	1.4	https://magyarnarancs.hu/mikrofilm/trump-az-igazsagugyi-miniszteriummal-akarta-betiltatni-a-rola-szolo-parodiat-239585	hivatkozas	href
4	<strong id=@LONG>	1.25	0.5	1.25	https://magyarnarancs.hu/villamnarancs/hamarabb-utolerni-rogan-antalt-mint-a-santa-kutyat-101804 https://magyarnarancs.hu/jo_nekunk/divahoz-melto-nagyszabasu-vizio-gabor-zsazsa-es-a-zsido-muzeum-102035 https://magyarnarancs.hu/kulpol/magyar-vagy-ismered-maya-goldot-helyszini-riport-a-moszuli-frontrol-101555	felkover	default
4	<p id=@lbTitleNUM>	31.75	0.5	31.25	https://magyarnarancs.hu/belpol/nem-valtoztat-a-jobbik-az-ep-listajan-gyongyosi-marton-megy-brusszelbe-120173 https://magyarnarancs.hu/belpol/az-mnb-tulajdonaba-kerul-a-pallas-athene-alapitvanyok-vagyonat-kezelo-cegtol-a-szell-kalman-teri-postapalota-111995 https://magyarnarancs.hu/hirnarancs/a-varosliget-megujitasat-igen-beepiteset-nem-tamogatjak-a-budapestiek-99983 https://magyarnarancs.hu/belpol/110-millio-forintbol-ujul-meg-a-bagimajori-szelmalom-116834	bekezdes	default
