frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
1497	<iframe allow=@LONG allowfullscreen=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3117953_ujraindulnak-az-onkologiai-szurovizsgalatok https://nepszava.hu/json/cikk.json?id=3128309_ujjlenyomatot-vett-a-pecsi-rendorseg-egy-atragasztott-kormanyzati-plakatrol https://nepszava.hu/json/cikk.json?id=3133346_szekesfehervaron-epit-ujabb-sportcsarnokot-a-kormany-32-milliard-forintbol https://nepszava.hu/json/cikk.json?id=3105924_a-megszoritasok-hetszer-nagyobb-mertekben-sujtjak-az-ellenzeki-vezetesu-onkormanyzatokat https://nepszava.hu/json/cikk.json?id=3132500_uszito-matricak-miatt-tett-feljelentest-pecs-polgarmestere	beagyazott_tartalom	src
1974	<iframe allow=encrypted-media allowtransparency=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3090523_vezer-es-szivlapat-szerda-esti-elolancos-versfelolvasassal-alltak-ki-irok-koltok-az-szfe-mellett-video https://nepszava.hu/json/cikk.json?id=1163380_europai-ugyeszseg-nepszavazasi-kezdemenyezesrol-dontott-az-mszp https://nepszava.hu/json/cikk.json?id=3051816_ket-het-mulva-terhet-vissza-fucsovics https://nepszava.hu/json/cikk.json?id=3025932_orban-viktor-elrepult-izraelbe-foto-nem-lesz-ott-az-elso-parlamenti-ulesen https://nepszava.hu/json/cikk.json?id=3088345_ket-kerdesben-lehet-nepszavazas-a-tatai-szallodaberuhazasrol	beagyazott_tartalom	src
1956	<iframe allowfullscreen= frameborder=@NUM height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1102618_illegalis-vadaszokat-buktattak-le-zemplenben-video https://nepszava.hu/json/cikk.json?id=1113277_merenylet-a-columbus-egyetemen-tobben-megsebesultek-video https://nepszava.hu/json/cikk.json?id=1118102_drograzzia-kecskemeten-video https://nepszava.hu/json/cikk.json?id=1122221_undorito-allapotok-bezaratott-egy-husboltot-a-nebih-sokkolo-felvetelek https://nepszava.hu/json/cikk.json?id=1081388_2015-ujszulottjei-a-fovarosi-allatkertben-video	beagyazott_tartalom	src
2514	<div class=inset-image-container inset-image-right style=@STYLE>	0.0	1.0123309466984884	0.0	https://nepszava.hu/json/cikk.json?id=1162875_athen-meg-nem-erez-javulast https://nepszava.hu/json/cikk.json?id=1154995_bkv-nem-vagynak-volan-moge-a-soforok-vezetoi https://nepszava.hu/json/cikk.json?id=1137536_kollar-klemencz-egyutt-fociztam-orbannal https://nepszava.hu/json/cikk.json?id=1147548_kobanyai-janos-egyszer-szepek-voltunk-egyutt-somlo-tamas-unnep-utan https://nepszava.hu/json/cikk.json?id=1131386_kazancsere-tobbszoros-a-tuljelentkezes	null	default
31	<iframe allowtransparency=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1134219_sorost-tapossak-a-villamoson-a-bkv-elmondta-mi-tortenhetett https://nepszava.hu/json/cikk.json?id=1108254_orban-all-a-nepszabadsag-felfuggesztese-mogott https://nepszava.hu/json/cikk.json?id=1119138_szanyi-szerint-az-o-legyalazasaval-nepszerusitene-akciojat-fekete-gyor https://nepszava.hu/json/cikk.json?id=1125615_terror-szentpetervaron-hivatalos-megneveztek-a-gyanusitottat https://nepszava.hu/json/cikk.json?id=1104944_mecs-imre-kiakadt-a-pozsonyi-piknik-szervezoire	beagyazott_tartalom	src
10708	<img align=@STYLE height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1149306_halal-lovasberenynel-a-tuzoltok-vagtak-ki-egy-embert-a-roncsbol-fotok https://nepszava.hu/json/cikk.json?id=1086845_o-ugyan-az-nvb-ralegyint-a-kopaszok-akciojara https://nepszava.hu/json/cikk.json?id=1119809_osszejohet-a-nepszavazas-az-olimpiarol https://nepszava.hu/json/cikk.json?id=1158218_azbesztpor-veszelyben-voltak-a-lakok https://nepszava.hu/json/cikk.json?id=1132257_ocean-szol-a-fuleben	media_hivatkozas	src
34	<img alt=@alt height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1002603_tobb-szazan-a-hosi-halalt-halt-tuzolto-bucsuztatasan https://nepszava.hu/json/cikk.json?id=1003132_eloltottak-a-nyiregyhazi-a-tuzet-ket-tuzolto-megserult https://nepszava.hu/json/cikk.json?id=1000464_vettel-gyozott-de-meg-nem-vilagbajnok https://nepszava.hu/json/cikk.json?id=1002401_onimado-onkormanyzok-orbant-utanozzak-a-fidesz-keresztapai https://nepszava.hu/json/cikk.json?id=1004601_barati-tuzben-serult-a-tek-es-fotok	media_hivatkozas	src
433	<iframe allow=@LONG allowfullscreen= frameborder=@NUM height=@STYLE src=@LINK title=YouTube video player width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3119294_setaltatas-kozben-verte-alfit-a-gazdaja-a-ferfit-allatkinzassal-gyanusitjak-video https://nepszava.hu/json/cikk.json?id=3120042_1-2-tonna-elelmiszert-vont-ki-a-forgalombol-a-nebih-egy-szabolcsi-kisboltban https://nepszava.hu/json/cikk.json?id=3134718_videon-ahogy-kisiklott-egy-vonat-szegeden https://nepszava.hu/json/cikk.json?id=3118054_kina-fellotte-a-mennyei-harmoniat https://nepszava.hu/json/cikk.json?id=3125750_lezuhant-egy-kisrepulo-svedorszagban-video	beagyazott_tartalom	src
234	<iframe allowfullscreen=true frameborder=@NUM src=@LINK style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3128755_osszeomlas-leallosavban-parkolt-az-m7-esen-majd-taskajaval-a-kezeben-elindult-gyalog-video https://nepszava.hu/json/cikk.json?id=3049893_kozmunkasok-teritik-a-fidesz-kampanyanyagat-komlon https://nepszava.hu/json/cikk.json?id=3108492_karantenfeszultseg-befalazott-etterem-es-lefujt-paravan-a-budapesti-plazaban https://nepszava.hu/json/cikk.json?id=3066408_halalosan-megfenyegette-a-solyi-gyerekgyilkos-apja-az-aldozat-batyjat https://nepszava.hu/json/cikk.json?id=3066152_ismert-focista-halt-meg-a-ferihegyi-uton-tortent-balesetben	beagyazott_tartalom	src
69	<script async= charset=@NUM src=@LINK type=text/javascript>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1163033_orbant-festett-az-al-banksy-egy-pesti-falra https://nepszava.hu/json/cikk.json?id=1162831_uj-modszerrel-edesgetne-vissza-magyarorszagot-az-usa https://nepszava.hu/json/cikk.json?id=1096449_halalos-merenylet-a-miniszteriumnal-veszelyben-volt-a-kormanyfo-is-video https://nepszava.hu/json/cikk.json?id=1162473_semjen-elvesztene-a-normalitasat-ha-nem-vadaszna https://nepszava.hu/json/cikk.json?id=1163071_tegnap-csak-vertek-bennunket-ma-mar-gyilkolnak	decompose	default
1394	<iframe allowfullscreen=true allowtransparency=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3087794_szinesz-es-rendezolegendak-oroksege-batran-kiallnak-onmagukert-az-szfe-hallgatoi-video https://nepszava.hu/json/cikk.json?id=1115159_berci-nem-akarod-ezt-a-nepszabadsagost-behivni-orban-es-a-sajto-video https://nepszava.hu/json/cikk.json?id=1146448_panik-londonban-ujranyitottak-a-metrot-videok https://nepszava.hu/json/cikk.json?id=3093601_nem-maradt-kovetkezmenyek-nelkul-orban-becsehelyi-meglepi-palinkazasa https://nepszava.hu/json/cikk.json?id=1124169_muugro-jegesmedvek-a-budapesti-allatkertben-video	beagyazott_tartalom	src
